Age_Band,Gender,N,Est_Mean_CIS-R,Est_SD_CIS-R,Pct_0-5,Pct_6-11,Pct_12-17,Pct_18+,Pct_CMD_threshold
16-24,Men,249,4.77,4.8,76.5,14.4,4.9,4.2,9.1
16-24,Women,311,7.75,7.18,57.3,16.7,10.9,15.1,26.0
16-24,All,560,6.22,6.25,67.1,15.5,7.8,9.5,17.3
25-34,Men,355,5.66,5.9,72.3,12.5,7.4,7.8,15.2
25-34,Women,680,6.67,6.15,60.4,20.5,10.5,8.6,19.1
25-34,All,1035,6.17,6.05,66.3,16.5,9.0,8.2,17.2
35-44,Men,468,5.85,5.97,69.7,15.2,6.8,8.3,15.1
35-44,Women,712,6.78,6.6,63.2,16.2,9.4,11.2,20.6
35-44,All,1180,6.33,6.32,66.4,15.7,8.1,9.8,17.9
45-54,Men,489,5.49,5.65,72.1,14.7,6.2,7.0,13.2
45-54,Women,805,7.28,6.79,58.6,18.7,10.2,12.5,22.7
45-54,All,1294,6.4,6.32,65.3,16.7,8.2,9.8,18.0
55-64,Men,541,5.88,6.08,69.9,15.2,5.8,9.1,14.9
55-64,Women,685,6.58,6.28,62.8,18.1,9.8,9.3,19.1
55-64,All,1226,6.23,6.19,66.3,16.7,7.8,9.2,17.0
65-74,Men,538,4.34,4.45,81.3,11.5,3.7,3.6,7.3
65-74,Women,651,5.3,5.24,72.3,14.9,8.1,4.8,12.9
65-74,All,1189,4.82,4.88,76.6,13.2,5.9,4.2,10.1
75+,Men,418,3.99,3.55,81.9,12.8,4.2,1.1,5.3
75+,Women,644,4.99,5.03,74.6,15.4,5.1,4.9,10.0
75+,All,1062,4.56,4.49,77.6,14.3,4.7,3.3,8.0
